permalink,collection,nypl,loc,uuid,photographer,year,location,description,landscape,locationScore,styleScore,peopleScore,activityScore,activityScore2,activityScore3,activityScore4,activityScore5,activityScore6
https://digitalcollections.nypl.org/items/510d47df-f9fb-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260330,,b9e86aa0-c645-012f-68b6-58d385a7bc34,,1946,"Staten Island, New York",6888th Women's Army Corp arrive in New York from Europe,1,3,5,8,12,26,28,,,
https://digitalcollections.nypl.org/items/510d47df-fa3e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260396,,388e6340-c6d1-012f-3f18-58d385a7bc34,"Smith, Roger",1939-1945,"Rose Garden, Botanical Gardens, Washington D.C.",Women landscaping Botanical Gardens,1,3,5,8,12,25,27,,,
https://digitalcollections.nypl.org/items/510d47df-f8b9-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260017,,097578a0-c613-012f-a5a3-58d385a7bc34,"Collins, Marjory",1939-1945,"Potomac Park, Washington D.C.",Woman and girls cycle through Potomac Park,1,3,5,8,13,15,22,26,,
https://digitalcollections.nypl.org/items/510d47de-1d45-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169404,,9276af80-c6b3-012f-8e67-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Group of girls practicing Reserve drills,1,3,5,8,22,26,28,,,
https://digitalcollections.nypl.org/items/85108dd0-461d-0134-09ad-00505686a51c,Schomburg Center for Research in Black Culture,56806324,,22d46120-13cf-0134-cb11-00505686a51c,,1935-1939,"Harlem, New York",Women sitting in front of an empty store in Harlem,1,3,5,8,23,24,26,,,
https://digitalcollections.nypl.org/items/c1fcc19f-33b5-c09d-e040-e00a18061e66,Schomburg Center for Research in Black Culture,4042602,,7f724b90-c5f2-012f-7f0c-58d385a7bc34,"Roberts, G. Walter",1890-1899,,Woman dressed in men's clothing,1,3,6,7,14,26,,,,
https://digitalcollections.nypl.org/items/510d47de-1d41-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169400,,86509440-c6b3-012f-1a8c-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Woman poses while playing tennis,1,3,6,7,15,26,,,,
https://digitalcollections.nypl.org/items/510d47dd-e887-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1240248,,271673d0-c62a-012f-c3b2-58d385a7bc34,"Fuller, Thomas Oscar",1910,"Nashville, Tennessee",Members of Women's Bible Training Class pose for portrait,1,3,6,8,9,13,26,33,,
https://digitalcollections.nypl.org/items/926d9ec0-9f93-0134-a6c2-00505686a51c,Schomburg Center for Research in Black Culture,56997665,,fe4b89c0-9ba4-0134-eb49-00505686a51c,,1916,"New York, New York",Group Portrait Lincoln School for Nurses ,1,3,6,8,9,26,29,,,
https://digitalcollections.nypl.org/items/510d47de-1d0f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1168490,,3b71aa70-c6ba-012f-84d2-3c075448cc4b,,1905,"New York, New York",Woman and ten children standing on stoop of apartment,1,3,6,8,11,22,26,35,,
https://digitalcollections.nypl.org/items/510d47df-1ef2-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217218,,fbd008b0-c6f3-012f-88bd-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Woman holding infant and milk bottle,1,3,6,8,11,22,30,,,
https://digitalcollections.nypl.org/items/510d47de-8175-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1211916,,86005380-c612-012f-3b53-58d385a7bc34,"Lange, Dorothea",1937,"Memphis, Tennessee",Women traveling from Tennessee to Arkansas,1,3,6,8,12,36,37,38,,
https://digitalcollections.nypl.org/items/510d47de-7bdd-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1206691,,bf73d3b0-c6ed-012f-973c-58d385a7bc34,"Miller, Kelly",1914-1918,Washington D.C.,Portrait of women employed by the Navy,1,3,6,8,12,25,26,28,,
https://digitalcollections.nypl.org/items/510d47dd-df8d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1121215,,5c3770f0-c617-012f-b50a-58d385a7bc34,"Whipple, Phila M.",1907,Boston,Family posing outside their cabin home,1,3,6,8,22,26,33,35,,
https://digitalcollections.nypl.org/items/510d47df-fa22-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260373,,1d520180-c6be-012f-bf75-58d385a7bc34,Leonard,1937,"Freedman's Hospital, Washington D.C.",Student preparing surgical dressings,1,4,5,7,9,12,26,29,,
https://digitalcollections.nypl.org/items/510d47df-fa45-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260399,,3915beb0-c6d1-012f-f033-58d385a7bc34,"Smith, Roger",1939-1945,Washington D.C.,War industry training for public school woman,1,4,5,7,9,10,25,32,,
https://digitalcollections.nypl.org/items/510d47df-f992-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260226,,a7095240-c612-012f-12b2-58d385a7bc34,"Lee, Russell",1940-1949,"Chicago, Illinois","Woman reading bible in Store Front Baptist church, Chicago",1,4,5,7,9,13,21,26,33,
https://digitalcollections.nypl.org/items/510d47df-fa3f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260397,,362e0040-c6d1-012f-a9ee-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial worker building SS George Washington Carver,1,4,5,7,10,12,25,28,,
https://digitalcollections.nypl.org/items/510d47df-fa1b-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260367,,1aabcb00-c6be-012f-b609-58d385a7bc34,,1935-1943,"Brooklyn, New York",Woman working at Brooklyn Work Experience Center,1,4,5,7,10,12,25,26,32,
https://digitalcollections.nypl.org/items/510d47df-fa43-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260392,,1f523b30-c6be-012f-3d1f-58d385a7bc34,,1939-1950,"Brooklyn, New York",Young woman working at Brooklyn Work Experience Center,1,4,5,7,10,12,24,32,,
https://digitalcollections.nypl.org/items/510d47df-fa41-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260391,,1eeb10a0-c6be-012f-58dd-58d385a7bc34,,1939-1950,,Young woman metalworking,1,4,5,7,10,12,24,32,,
https://digitalcollections.nypl.org/items/510d47de-8410-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212151,,24641520-c6d1-012f-59b4-58d385a7bc34,,,"Richmond, California",Woman icing cake for domestic employer employer,1,4,5,7,11,12,30,,,
https://digitalcollections.nypl.org/items/510d47df-a082-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1232074,,037643c0-c6bc-012f-0577-58d385a7bc34,,1908,"Atlanta, Georgia",Woman working as a typesetter in Atlanta,1,4,5,7,12,24,26,32,,
https://digitalcollections.nypl.org/items/510d47df-fa33-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260383,,23acdbc0-c6be-012f-2e36-58d385a7bc34,,1939,"Mercy Hospital, New York",Young woman typing at Mercy Hospital,1,4,5,7,12,26,27,29,,
https://digitalcollections.nypl.org/items/510d47df-fa4d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260404,,3cbdaf50-c6d1-012f-fe3f-58d385a7bc34,"Liberman, Howard",1942,"Philadelphia, Pensylvania",Woman sews army jackets,1,4,5,7,12,20,25,26,28,33
https://digitalcollections.nypl.org/items/510d47df-fa18-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260364,,18f4e240-c6be-012f-5ce3-58d385a7bc34,,1926-1950,"New York, New York",Woman performing Kline tests at Bureau of Social Hygiene,1,4,5,7,12,26,27,29,,
https://digitalcollections.nypl.org/items/6bdb1562-8189-8f7e-e040-e00a18067399,Schomburg Center for Research in Black Culture,1702766,,3fec47b0-c6d1-012f-1ef7-58d385a7bc34,,1930-1945,,Woman cleaning Civil Office building,1,4,5,7,12,24,27,,,
https://digitalcollections.nypl.org/items/510d47df-fa25-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260376,,20cce780-c6be-012f-e956-58d385a7bc34,,1935-1943,"New York, New York",Woman pouring coffee,1,4,5,7,12,26,30,34,,
https://digitalcollections.nypl.org/items/510d47de-1ca9-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1168373,,425dec40-c6e7-012f-dd02-3c075448cc4b,,1902,"St. Louis, Missouri","Home Economics class at Summer High School, St. Louis",1,4,5,8,9,11,30,,,
https://digitalcollections.nypl.org/items/7e2d3c79-994a-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818753,,92ba9260-c6ce-012f-6cf2-58d385a7bc34,,1914,"Lincoln School for Nurses, New York",Nursing students in Lincoln lounge,1,4,5,8,9,12,15,18,26,29
https://digitalcollections.nypl.org/items/7e2d3c79-9941-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818744,,908f84d0-c6ce-012f-706e-58d385a7bc34,,1929,"Lincoln School for Nurses, New York",Five nursing students in laboratory,1,4,5,8,9,12,26,29,,
https://digitalcollections.nypl.org/items/7e2d3c79-994c-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818755,,932cecf0-c6ce-012f-29d0-58d385a7bc34,,1931,"Lincoln School for Nurses, New York",Nursing students in Science laboratory,1,4,5,8,9,12,29,,,
https://digitalcollections.nypl.org/items/7e2d3c79-994b-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818754,,92f68f20-c6ce-012f-eaf0-58d385a7bc34,,1931,"Lincoln School for Nurses, New York",Nursing students in Lincoln library,1,4,5,8,9,12,29,,,
https://digitalcollections.nypl.org/items/7e2d3c79-994d-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818756,,93712fa0-c6ce-012f-e77d-58d385a7bc34,,1938,"Lincoln School for Nurses, New York",Nursing students in Lincoln library,1,4,5,8,9,12,29,,,
https://digitalcollections.nypl.org/items/510d47df-fa60-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260413,,9ee93e70-c6b2-012f-587f-58d385a7bc34,"Liberman, Howard",1942,"Roanoke, Virginia",Teacher educating children on war-time scrap collection,1,4,5,8,9,12,13,22,25,
https://digitalcollections.nypl.org/items/510d47df-f98e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260222,,a513b4e0-c612-012f-cd26-58d385a7bc34,"Lee, Russell",1950-1959,"Good Shepard Community Center, Chicago, Illinois",Women of the National Youth Adminstration meet in Chicago,1,4,5,8,9,13,26,31,,
https://digitalcollections.nypl.org/items/7e2d3c79-9951-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818760,,946f4680-c6ce-012f-a71e-58d385a7bc34,,1960-1960,"Lincoln School for Nurses, New York",Annual Lincoln School Luncheon,1,4,5,8,9,12,13,26,29,33
https://digitalcollections.nypl.org/items/510d47dd-c69e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1206635,,36a3bde0-c6d1-012f-1fc8-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial workers building SS George Washington Carver,1,4,5,8,10,12,25,29,,
https://digitalcollections.nypl.org/items/510d47df-fa4e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260405,,3724ad80-c6d1-012f-e685-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial workers building SS George Washington Carver,1,4,5,8,10,12,25,28,,
https://digitalcollections.nypl.org/items/510d47df-fa3a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260387,,1b1bfd40-c6be-012f-8075-58d385a7bc34,,1940-1949,,Young woman demonstrates tool operations,1,4,5,8,10,12,26,,,
https://digitalcollections.nypl.org/items/510d47df-1f1a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217255,,0ad98790-c6f4-012f-2902-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women working machinery in apron factory,1,4,5,8,11,12,20,24,,
https://digitalcollections.nypl.org/items/510d47df-f8b0-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260020,,0609f6e0-c613-012f-46ae-58d385a7bc34,"Rothstein, Arthur",1937,Washington D.C.,Woman and child in slum kitchen,1,4,5,8,11,14,22,30,35,
https://digitalcollections.nypl.org/items/510d47df-f90f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260095,,a181cf30-c612-012f-e613-58d385a7bc34,"Wolcott, Marion Post",1939,"Atlanta, Georgia",Woman working as nanny feeds child,1,4,5,8,11,12,22,26,30,35
https://digitalcollections.nypl.org/items/510d47df-f906-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260085,,00431050-c613-012f-5a9f-58d385a7bc34,"Vachon, John",1940,"Norfolk, Virginia",Woman and children in their Virginia home,1,4,5,8,11,14,22,26,35,
https://digitalcollections.nypl.org/items/510d47de-8176-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1211917,,aa933840-c612-012f-53e8-58d385a7bc34,"Lee, Russell",1941,"Chicago, Illinois",Woman and children in Chicago apartment,1,4,5,8,11,14,22,35,,
https://digitalcollections.nypl.org/items/510d47df-fa49-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260394,,2127b3a0-c6be-012f-bba4-58d385a7bc34,,1930-1959,"Long Island, New York",Women operate a food mixer,1,4,5,8,11,12,26,30,32,
https://digitalcollections.nypl.org/items/510d47de-1ce2-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1210426,,334c31f0-c6bb-012f-a2ec-3c075448cc4b,"Washington, Booker T.",1906,"Tuskegee, Alabama",Millinery class at Tuskegee Institute,1,4,5,8,12,20,26,32,,
https://digitalcollections.nypl.org/items/510d47df-1f1b-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217256,,0b43ccf0-c6f4-012f-7162-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women and girls working in a milliner factory,1,4,5,8,12,20,22,24,26,
https://digitalcollections.nypl.org/items/510d47df-1f19-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217254,,0a656cc0-c6f4-012f-4f02-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women and girls working in lampshade factory,1,4,5,8,12,20,22,24,,
https://digitalcollections.nypl.org/items/84cbff90-a7ca-0131-6533-58d385a7b928,Schomburg Center for Research in Black Culture,5114784,,6d16f100-997d-0131-f800-58d385a7b928,,1954,"Brooklyn, New York",Women wait for the Miss Rheingold pageant contestants,1,4,5,8,12,15,26,,,
https://digitalcollections.nypl.org/items/510d47de-1d44-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169403,,8f86d270-c6b3-012f-0390-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Women working in a garment factory during WWI,1,4,5,8,12,20,25,26,,
https://digitalcollections.nypl.org/items/510d47df-fa48-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260393,,1fbe4430-c6be-012f-23e9-58d385a7bc34,,1920-1939,"Chicago, Illinois","Women work as Clerks at South Parkway Y.W.C.A., Chicago",1,4,5,8,12,13,26,27,32,
https://digitalcollections.nypl.org/items/510d47df-fa1c-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260368,,1b821cb0-c6be-012f-638a-58d385a7bc34,"Eagle, Arnold",1935-1943,"Astoria, New York",Women sewing at Astoria Work Experience Center,1,4,5,8,12,20,32,,,
https://digitalcollections.nypl.org/items/510d47df-fa19-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260366,,1a2338e0-c6be-012f-bf35-58d385a7bc34,,1935-1943,"Astoria, New York",Woman supervising sewing,1,4,5,8,12,20,24,26,32,
https://digitalcollections.nypl.org/items/510d47df-fa28-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260378,,21ea5a70-c6be-012f-99f7-58d385a7bc34,"Eagle, Arnold",1935-1943,"New York, New York",Three women at radio workshop,1,4,5,8,12,13,18,26,27,
https://digitalcollections.nypl.org/items/510d47df-fa21-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260372,,1cf298b0-c6be-012f-ea03-58d385a7bc34,,1935-1943,,Nurses' aid feeds infant,1,4,5,8,12,22,26,27,29,32
https://digitalcollections.nypl.org/items/510d47df-fa1e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260369,,bd7b9a0-c6be-012f-13bb-58d385a7bc34,,1935-1943,"Astoria, New York",Women sewing at Astoria Work Experience Center,1,4,5,8,12,20,32,,,
https://digitalcollections.nypl.org/items/510d47de-8413-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1213443,,3d439de0-c6d1-012f-9d22-58d385a7bc34,United States Army Signal Corp.,1939-1945,"Jersey City, New Jersey",Women in the Repair Depot repair military clothing,1,4,5,8,12,20,25,26,28,
https://digitalcollections.nypl.org/items/510d47df-f990-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260224,,a60329d0-c612-012f-d814-58d385a7bc34,"Lee, Russell",1940-1949,"Chicago, Illinois",Women working as insurance clerks,1,4,5,8,12,24,26,,,
https://digitalcollections.nypl.org/items/510d47de-8728-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212143,,aa1fc610-c612-012f-447c-58d385a7bc34,"Lee, Russell",1941,"Chicago, Illinois","Congregation of Store Front Baptist Church, Chicago",1,4,5,8,13,21,26,33,,
https://digitalcollections.nypl.org/items/79c17ca1-7a0b-103e-e040-e00a18067ff9,Schomburg Center for Research in Black Culture,1806595,,d5b40110-c628-012f-32ce-58d385a7bc34,"Holt, Norma",1953,"State Board of Pardons and Parole, Georgie",Women await Rosa Lee's parole hearing in Georgia,1,4,5,8,13,27,31,,,
https://digitalcollections.nypl.org/items/7b07ea5c-6223-6b59-e040-e00a18065a4d,Schomburg Center for Research in Black Culture,1811321,,303a6f20-c62a-012f-6e74-58d385a7bc34,,1920-1929,,Group of Women sit at Restaurant counter,1,4,5,8,13,15,26,34,,
https://digitalcollections.nypl.org/items/510d47de-1d46-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169405,,9b707e10-c6b3-012f-8190-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Group of women leisurely reading,1,4,5,8,14,15,25,26,35,
https://digitalcollections.nypl.org/items/510d47de-842f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1213441,,3b722300-c6d1-012f-7aba-58d385a7bc34,"Smith, Roger",1942-1943,"Lucy D. Slowe Residence Hall, Washington D.C.",Women play cards in their residence ,1,4,5,8,14,15,25,26,35,
https://digitalcollections.nypl.org/items/510d47df-f98f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260223,,a5850260-c612-012f-c3eb-58d385a7bc34,"Lee, Russell",1950-1959,"Chicago, Illinois",Young women play violin and piano,1,4,5,8,14,15,18,22,26,35
https://digitalcollections.nypl.org/items/510d47de-1d43-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169402,,8c790dd0-c6b3-012f-f157-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Women in pottery class,1,4,5,8,20,25,32,,,
https://digitalcollections.nypl.org/items/510d47de-8729-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212144,,ab1f1840-c612-012f-3660-58d385a7bc34,"Lee, Russell",1941,"South Side Chicago, Illinois",Woman launders clothes in Chicago apartment,1,4,5,11,14,26,35,,,
https://digitalcollections.nypl.org/items/510d47df-1f2d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216585,,78009f80-c6da-012f-cf07-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a high school teacher wearing broach and hair comb,1,4,6,7,9,12,26,,,
https://digitalcollections.nypl.org/items/510d47de-1ce8-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1210432,,454b6580-c6bb-012f-95b5-3c075448cc4b,"Washington, Booker T.",1906,"Tuskegee, Alabama",Woman from Tuskegee Institute demonstrates how to set a table,1,4,6,7,11,26,30,32,35,
https://digitalcollections.nypl.org/items/510d47e2-ed3e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,05schaw,,6f6c7a20-c6b6-012f-94ec-58d385a7bc34,,1880-1889,,Portrait of woman in black lace dress,1,4,6,7,11,26,,,,
https://digitalcollections.nypl.org/items/6bdb1562-818b-8f7e-e040-e00a18067399,Schomburg Center for Research in Black Culture,1702768,,409f6160-c6d1-012f-d5b3-58d385a7bc34,,1900-1935,"Mound Bayou, Mississippi",Telephone operator,1,4,6,7,12,24,26,,,
https://digitalcollections.nypl.org/items/1292ebb0-3bc8-0134-6c19-00505686a51c,Schomburg Center for Research in Black Culture,56806342,,fc0cadc0-3b16-0134-2fe3-00505686a51c,,1935-1943,,Portrait of woman in floral costume,1,4,6,7,12,16,17,26,,
https://digitalcollections.nypl.org/items/510d47df-f9c8-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260279,,ae87ea20-c645-012f-8c54-58d385a7bc34,,1948,"Tokyo, Japan",Woman poses with Japanese doll in Tokyo,1,4,6,7,15,26,,,,
https://digitalcollections.nypl.org/items/510d47e1-cdce-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,59SCCDV,,c7021a60-c6ca-012f-cd71-58d385a7bc34,"Morse, George Daniels",1880-1889,"San Francisco, California",Portrait of a woman wearing glasses and cross earrings,1,4,6,7,21,26,,,,
https://digitalcollections.nypl.org/items/510d47df-1f56-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216626,,f9722f20-c6da-012f-6c1e-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a girl with long hair in a white blouse,1,4,6,7,22,26,,,,
https://digitalcollections.nypl.org/items/510d47e1-cdc3-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,49SCCDV,,c30fbab0-c6ca-012f-305c-58d385a7bc34,"Bill, C.K.",1860,,Portrait of a woman holding a bonnet,1,4,6,7,26,33,,,,
https://digitalcollections.nypl.org/items/510d47e1-fd15-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,03SCCAB,,071b57b0-c6e0-012f-a107-58d385a7bc34,,1875,,Portrait of a woman wearing a hat and bustle,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47e1-fd21-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,16SCCAB,,0ce634c0-c6e0-012f-54b5-58d385a7bc34,"Benjamin, O.C.",1880,New Jersey,Portrait of a woman wearing a velvet coat,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47e1-fd2c-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,28SCCAB,,12bafc10-c6e0-012f-15a5-58d385a7bc34,Stanton & Burdick,1880,"Los Angeles, California",Portrait of a young woman,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47e1-fd20-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,15SCCAB,,0c738550-c6e0-012f-192e-58d385a7bc34,Columbian Galleries,1890,"New York, New York",Portrait of woman wearing lace bodice,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47df-9dcf-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1231552,,7d97fa10-c6b4-012f-f6f8-58d385a7bc34,,1914,Washington D.C.,Portrait of woman in white blouse with flowers in her hair,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47df-1f5a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216630,,05b81060-c6db-012f-61f5-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a woman in a striped dress,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47df-1f59-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216629,,02aceb30-c6db-012f-1416-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a woman in a lace dress with large beaded necklace,1,4,6,7,26,,,,,
https://digitalcollections.nypl.org/items/510d47df-1f58-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216628,,ff795420-c6da-012f-42fe-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a woman in a dotted dress with large ribbon in her hair,1,4,6,7,26,,,,,
